keyword,target_page,page_type,state_slug,state_name,game_family_slug,game_name,session_slug,primary_intent,backlink_intent,page_importance_score,intent_match_score,competition_tier,competition_score,ranking_opportunity_score,backlink_value_score,priority_score,opportunity_tier,backlink_priority_tier,monthly_searches,difficulty,cpc,metrics_source,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,ranking_signal,needs_data_fields
california powerball past results,/states/ca/powerball,game_family,ca,California,powerball,Powerball,,historical,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
california powerball results,/states/ca/powerball,game_family,ca,California,powerball,Powerball,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
california powerball winning numbers,/states/ca/powerball,game_family,ca,California,powerball,Powerball,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
mega millions numbers today,/states/ca/mega-millions,game_family,ca,California,mega-millions,Mega Millions,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,5000,needs data,0.09-0.60 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions numbers today,/states/tx/mega-millions,game_family,tx,Texas,mega-millions,Mega Millions,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,5000,needs data,0.09-0.60 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions results,/states/ca/mega-millions,game_family,ca,California,mega-millions,Mega Millions,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,50000,needs data,0.13-0.22 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions results,/states/tx/mega-millions,game_family,tx,Texas,mega-millions,Mega Millions,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,50000,needs data,0.13-0.22 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions winning numbers,/states/ca/mega-millions,game_family,ca,California,mega-millions,Mega Millions,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,500000,needs data,0.14-0.50 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions winning numbers,/states/tx/mega-millions,game_family,tx,Texas,mega-millions,Mega Millions,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,500000,needs data,0.14-0.50 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball numbers today,/states/ca/powerball,game_family,ca,California,powerball,Powerball,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball numbers today,/states/tx/powerball,game_family,tx,Texas,powerball,Powerball,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball results,/states/ca/powerball,game_family,ca,California,powerball,Powerball,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,500000,needs data,0.13-0.37 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball results,/states/tx/powerball,game_family,tx,Texas,powerball,Powerball,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,500000,needs data,0.13-0.37 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball winning numbers,/states/ca/powerball,game_family,ca,California,powerball,Powerball,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,5000000,needs data,0.09-0.40 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball winning numbers,/states/tx/powerball,game_family,tx,Texas,powerball,Powerball,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,5000000,needs data,0.09-0.40 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
texas mega millions past results,/states/tx/mega-millions,game_family,tx,Texas,mega-millions,Mega Millions,,historical,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
texas mega millions results,/states/tx/mega-millions,game_family,tx,Texas,mega-millions,Mega Millions,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
texas mega millions winning numbers,/states/tx/mega-millions,game_family,tx,Texas,mega-millions,Mega Millions,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
texas powerball past results,/states/tx/powerball,game_family,tx,Texas,powerball,Powerball,,historical,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
texas powerball results,/states/tx/powerball,game_family,tx,Texas,powerball,Powerball,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
texas powerball winning numbers,/states/tx/powerball,game_family,tx,Texas,powerball,Powerball,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
florida mega millions past results,/states/fl/mega-millions,game_family,fl,Florida,mega-millions,Mega Millions,,historical,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
florida mega millions results,/states/fl/mega-millions,game_family,fl,Florida,mega-millions,Mega Millions,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
florida mega millions winning numbers,/states/fl/mega-millions,game_family,fl,Florida,mega-millions,Mega Millions,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
florida powerball double play past results,/states/fl/powerball-double-play,game_family,fl,Florida,powerball-double-play,Powerball Double Play,,historical,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
florida powerball double play results,/states/fl/powerball-double-play,game_family,fl,Florida,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
florida powerball double play winning numbers,/states/fl/powerball-double-play,game_family,fl,Florida,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
florida powerball past results,/states/fl/powerball,game_family,fl,Florida,powerball,Powerball,,historical,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
florida powerball results,/states/fl/powerball,game_family,fl,Florida,powerball,Powerball,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
florida powerball winning numbers,/states/fl/powerball,game_family,fl,Florida,powerball,Powerball,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
mega millions numbers today,/states/fl/mega-millions,game_family,fl,Florida,mega-millions,Mega Millions,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,5000,needs data,0.09-0.60 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions numbers today,/states/ny/mega-millions,game_family,ny,New York,mega-millions,Mega Millions,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,5000,needs data,0.09-0.60 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions results,/states/fl/mega-millions,game_family,fl,Florida,mega-millions,Mega Millions,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,50000,needs data,0.13-0.22 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions results,/states/ny/mega-millions,game_family,ny,New York,mega-millions,Mega Millions,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,50000,needs data,0.13-0.22 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions winning numbers,/states/fl/mega-millions,game_family,fl,Florida,mega-millions,Mega Millions,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,500000,needs data,0.14-0.50 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions winning numbers,/states/ny/mega-millions,game_family,ny,New York,mega-millions,Mega Millions,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,500000,needs data,0.14-0.50 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
new york mega millions past results,/states/ny/mega-millions,game_family,ny,New York,mega-millions,Mega Millions,,historical,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new york mega millions results,/states/ny/mega-millions,game_family,ny,New York,mega-millions,Mega Millions,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new york mega millions winning numbers,/states/ny/mega-millions,game_family,ny,New York,mega-millions,Mega Millions,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new york powerball past results,/states/ny/powerball,game_family,ny,New York,powerball,Powerball,,historical,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new york powerball results,/states/ny/powerball,game_family,ny,New York,powerball,Powerball,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new york powerball winning numbers,/states/ny/powerball,game_family,ny,New York,powerball,Powerball,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball double play numbers today,/states/fl/powerball-double-play,game_family,fl,Florida,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball double play results,/states/fl/powerball-double-play,game_family,fl,Florida,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball double play winning numbers,/states/fl/powerball-double-play,game_family,fl,Florida,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball numbers today,/states/fl/powerball,game_family,fl,Florida,powerball,Powerball,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball numbers today,/states/ny/powerball,game_family,ny,New York,powerball,Powerball,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball results,/states/fl/powerball,game_family,fl,Florida,powerball,Powerball,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,500000,needs data,0.13-0.37 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball results,/states/ny/powerball,game_family,ny,New York,powerball,Powerball,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,500000,needs data,0.13-0.37 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball winning numbers,/states/fl/powerball,game_family,fl,Florida,powerball,Powerball,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,5000000,needs data,0.09-0.40 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball winning numbers,/states/ny/powerball,game_family,ny,New York,powerball,Powerball,,informational,commercial/backlink target,91,92,MEDIUM,62,50,75.1,76.27,HIGH,Tier 1,5000000,needs data,0.09-0.40 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
california lottery games,/states/ca,state,ca,California,,,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
california lottery past results,/states/ca,state,ca,California,,,,historical,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
california lottery results,/states/ca,state,ca,California,,,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,50000,needs data,0.06-0.31 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
california lottery results today,/states/ca,state,ca,California,,,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
california winning numbers,/states/ca,state,ca,California,,,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
mega millions numbers today,/states/nj/mega-millions,game_family,nj,New Jersey,mega-millions,Mega Millions,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,5000,needs data,0.09-0.60 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions numbers today,/states/pa/mega-millions,game_family,pa,Pennsylvania,mega-millions,Mega Millions,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,5000,needs data,0.09-0.60 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions results,/states/nj/mega-millions,game_family,nj,New Jersey,mega-millions,Mega Millions,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,50000,needs data,0.13-0.22 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions results,/states/pa/mega-millions,game_family,pa,Pennsylvania,mega-millions,Mega Millions,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,50000,needs data,0.13-0.22 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions winning numbers,/states/nj/mega-millions,game_family,nj,New Jersey,mega-millions,Mega Millions,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,500000,needs data,0.14-0.50 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions winning numbers,/states/pa/mega-millions,game_family,pa,Pennsylvania,mega-millions,Mega Millions,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,500000,needs data,0.14-0.50 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
new jersey mega millions past results,/states/nj/mega-millions,game_family,nj,New Jersey,mega-millions,Mega Millions,,historical,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new jersey mega millions results,/states/nj/mega-millions,game_family,nj,New Jersey,mega-millions,Mega Millions,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new jersey mega millions winning numbers,/states/nj/mega-millions,game_family,nj,New Jersey,mega-millions,Mega Millions,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new jersey powerball double play past results,/states/nj/powerball-double-play,game_family,nj,New Jersey,powerball-double-play,Powerball Double Play,,historical,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new jersey powerball double play results,/states/nj/powerball-double-play,game_family,nj,New Jersey,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new jersey powerball double play winning numbers,/states/nj/powerball-double-play,game_family,nj,New Jersey,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new jersey powerball past results,/states/nj/powerball,game_family,nj,New Jersey,powerball,Powerball,,historical,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new jersey powerball results,/states/nj/powerball,game_family,nj,New Jersey,powerball,Powerball,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new jersey powerball winning numbers,/states/nj/powerball,game_family,nj,New Jersey,powerball,Powerball,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
pennsylvania mega millions past results,/states/pa/mega-millions,game_family,pa,Pennsylvania,mega-millions,Mega Millions,,historical,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
pennsylvania mega millions results,/states/pa/mega-millions,game_family,pa,Pennsylvania,mega-millions,Mega Millions,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
pennsylvania mega millions winning numbers,/states/pa/mega-millions,game_family,pa,Pennsylvania,mega-millions,Mega Millions,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
pennsylvania powerball double play past results,/states/pa/powerball-double-play,game_family,pa,Pennsylvania,powerball-double-play,Powerball Double Play,,historical,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
pennsylvania powerball double play results,/states/pa/powerball-double-play,game_family,pa,Pennsylvania,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,90,92,MEDIUM,62,50,74.4,75.86,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
